title,text,label
 WATCH: Trump Campaign Manager Blames Women For Rape,"Once again, a Republican rape comment surfaces, and it s from the campaign manager of the Republican nominee.Donald Trump s campaign has been full of sexism and misogyny, so it was only a matter of time before his third campaign manager Kellyanne Conway made her own offensive comment about rape.In 2013, despite Republicans being advised to keep their mouths shut about women and rape, Conway appeared in a panel discussion to talk about women in the military. At some point, Conway used rape as an analogy even though rape was not part of the discussion.Conway blamed women for being raped because they are not as physically strong as men and that  rape would not exist  if only women were not so weak. If we were physiologically   not mentally, emotionally, professionally   equal to men, if we were physiologically as strong as men, rape would not exist,  Conway said.  You would be able to defend yourself and fight him off. Here s the video via YouTube. Conway s rape comment is at the 2 minute mark.Conway s comment assumes that all rapes can be prevented simply by being physically strong. Unfortunately, rapists have many tricks to incapacitate their victims, including date rape drugs. Being strong also does not work very well if a rapist has their victim at knifepoint or gunpoint.Instead of blaming rapists, Conway openly blamed women for rape. She was a Republican pollster at the time, but now she is the campaign manager for the presidential candidate of the Republican Party.Clearly, Trump either did not vet Conway at all or he is okay with what she had to say about rape.But this adds to the pattern of Republicans blaming the victim instead of the rapist. For years, Republicans have been saying outrageous things about rape. Here s 40 of them.Trump is just another Republican in a long line of Republicans who apparently believe women are at fault if they get raped. His hiring of Conway clearly demonstrates that. They seem to think it s acceptable to blame rape victims for their assaults, deny women the right to control their own health care, and downplay sexual harassment in the workplace,  Daily Show creator Liz Winstead responded to Conway s remarks.  It s not. Featured image via screen capture",fake
LIVE FEED OF TRUMP RALLY: CHECK OUT THE LINE To Get Into PRESIDENT TRUMP’S MASSIVE RALLY! [VIDEO], ,fake
"OBAMA’S FINAL 6 MONTHS…Racist, Desperate, Congressional BLACK Caucus Plans Gun-Control Antics On House Floor: “Be As Disruptive As Possible To Speaker Ryan”","We re still waiting to hear if the White Congressional Caucus will join in oh wait never mind The Congressional Black Caucus is calling on its members  to be as disruptive to Speaker Ryan as possible next week  when the House returns for business on Tuesday.The Washington Examiner has obtained a memo sent to Democratic offices that states that CBC members are coordinating a  day of action on the floor in regards to gun violence. The plan involves members giving speeches throughout the day calling for further federal restrictions on the possession and use of guns. The memo also asks members to be present for a House Rules Committee that afternoon regarding on the terrorism and gun control legislation slated for action on the floor Wednesday. During Votes   Members are encouraged to have a picture (not poster board, but a printed piece of paper with an image of a constituent killed by a firearm),  the memo stated.Via: Washington Examinerh/t: Weasel Zippers",fake
"Zimbabwe truck accident kills 21, injures others","HARARE (Reuters) - At least 21 people died in Zimbabwe s northwest province after a truck carrying 69 people overturned on Saturday evening, police said on Sunday. A police spokesman said several other people were injured in the accident which occurred when the driver of the truck lost control on a bend.  ",real
OBAMA APPOINTED JUDGE Sides With Dems In Critical Swing State…Doesn’t Matter If Vote-by-Mail Ballot Signatures Don’t Match…Votes Still Count,"After only serving less than 4 years on the bench, Barack Obama nominated U.S. District Judge Mark Walker in 2012. Only one week ago, Judge Walker made what many consider a very controversial decision that forces the state of Florida to accept voter registration forms for one extra day because of Hurricane Matthew. Today, Obama appointed U.S. District Judge Mark Walker made another controversial decision after the Democratic Party sued the state. This decision clearly opens the door for extensive voter fraud. If you don t sign your ballot, your vote doesn t count. Seems like a pretty simple concept Pay attention to, and know about the judges on your ballots this November because judges decisions matter Calling the state s current law  illogical  and  bizarre,  a federal judge late Sunday ordered the state of Florida to give thousands of voters a chance to make sure their vote-by-mail ballots are counted.U.S. District Judge Mark Walker ruled that county election offices should notify voters if their signature on a vote-by-mail ballot and their voter registration forms don t match. Voters would then be given a chance to fix the problem by 5 p.m. the day before the election.The Florida Democratic Party sued the state because currently voters who don t sign their vote-by-mail ballot are given a chance to fix it. But voters whose signatures don t match aren t told about the problem until after the election is over and their ballot is discarded.Walker said that makes the law unconstitutional.Meredith Beatrice, a spokeswoman for Secretary of State Ken Detzner, said state officials were reviewing the decision.It is not clear exactly how many voters would be affected by the decision. But more than 23,000 vote-by-mail ballots were rejected by Florida election officials during the 2012 presidential election where President Barack Obama carried the state by slightly more than 74,000 votes.Nearly 513,000 Floridians have already voted by mail according to data compiled by the Florida Division of Elections. And another 2.4 million vote-by-mail ballots have been requested.Judge Walker, citing the contentious 2000 Florida election where George W. Bush carried the state over Al Gore by 537 votes, said he needed to act because the current practice was enough of a burden to affect the outcome of an election and  by extension, our country s future. Florida s Republican-controlled Legislature in 2004 passed a law that said all vote-by-mail ballots that had mismatched signatures or did not contain a signature were to be tossed out. But then in 2013 legislators changed the law to allow people who turned in a ballot without a signature to fix the mistake prior to the election.Detzner, the state s top election official, did not try to defend the current law. Instead his lawyers asserted that he could not order county election offices to correct the problem and that he was not the proper person to sue. Walker disagreed sharply in his decision. Via AP ",fake
Russia to respond to Twitter ban on Russian media ads: RIA,"MOSCOW (Reuters) - Russia said on Thursday it would respond to a decision by Twitter Inc to ban adverts from media outlets Russia Today (RT) and Sputnik, saying the move flouted international and domestic laws on free speech, the RIA news agency reported. RIA cited the Russian Foreign Ministry as saying the decision was another aggressive step aimed at hindering the work of Russian media in the United States and the result of pressure from U.S. intelligence agencies. ",real
Iraqi PM says Kurds 'playing with fire' with independence vote: report,"BAGHDAD (Reuters) - Iraqi Prime Minister Haider al-Abadi said on Saturday that Kurdish plans to hold a referendum on independence was like  playing with fire , according to a local media website.   Abadi s comment came after the parliament of the autonomous Kurdish region in northern Iraq approved on Friday the Kurdistan Regional Government s plan to hold the vote on Sept. 25. The vote could jeopardize gains achieved by the Kurds under the self-rule regime, Abadi said, according to the Iraqi Media News Agency news website. Abadi s media office didn t answer calls to confirm his comments.  ",real
MUST WATCH! New VIDEO Emerges Of Hillary Leaving NYC After FINALLY Losing The Election For The Last Time,"Hillary may have finally lost the election yesterday, but to her credit, she had her head held high when she was spotted leaving New York. pic.twitter.com/NysPmPUGDQ  Tim Young (@TimRunsHisMouth) December 20, 2016",fake
"Bangladesh to turn island into temporary home for 100,000 Rohingya refugees","DHAKA (Reuters) - Bangladesh approved a $280 million project on Tuesday to develop an isolated and flood-prone island in the Bay of Bengal to temporarily house 100,000 Rohingya Muslims fleeing violence in neighbouring Myanmar.     The decision came just days after Bangladesh sealed a deal aiming to start returning Rohingya to Myanmar within two months to reduce pressure in refugee camps.     A Bangladeshi government committee headed by Prime Minister Sheikh Hasina approved the plan to develop Bhashan Char island, also known as Thenger Char, despite criticism from humanitarian workers who have said the island is all but uninhabitable. Planning Minister Mustafa Kamal said it would take time to repatriate the refugees, and in the meantime Bangladesh needed a place to house them. The project to house 100,000 refugees on the island would be complete by 2019, he said.      Many Rohingya people are living in dire conditions,  he said, describing the influx of refugees as  a threat to both security and the environment .  More than 620,000 Rohingya Muslims have sought sanctuary in Bangladesh after the military in mostly Buddhist Myanmar launched a harsh counter-insurgency operation in their villages across the northern parts of Rakhine State, following attacks by Rohingya militants on an army base and police posts on Aug. 25. Bangladesh Foreign Minister Abul Hassan Mahmood Ali appealed in September for international support to transport Rohingya to the island. There were already about 300,000 Rohingya refugees in Bangladesh before the most recent exodus. Bangladesh, one of the world s poorest and most crowded nations, plans to develop the island, which emerged from the silt off Bangladesh s delta coast only 11 years ago and is two hours by boat from the nearest settlement.     It regularly floods during the June-September monsoons. When seas are calm, pirates roam the nearby waters to kidnap fishermen for ransom.    A plan to develop the island and use it to house refugees was first proposed in 2015 and revived last year. Despite criticism of the conditions on the island, Bangladesh says it has the right to decide where to shelter the growing numbers of refugees. ",real
Bolivians protest Morales' new bid to extend term limits,"LA PAZ (Reuters) - Thousands of Bolivians marched through streets across the Andean country on Tuesday to protest a new bid by leftist President Evo Morales to clear the way for him to run for a fourth term in 2019. Morales had accepted defeat in early 2016 when 51 percent of Bolivian voters rejected his proposal to reform the constitution to end existing term limits in a referendum. But last month, Morales  Movement to Socialism (MAS) party asked the country s highest court to rescind legal limits barring elected authorities from seeking re-election indefinitely, arguing that these violate human rights. Carrying signs that read  Bolivia said  no !  and waving the red, yellow and green Bolivian flag, protesters said Morales wants to tighten his grip on power in the vein of Venezuelan President Nicolas Maduro, a leftist ally considered a dictator by the opposition.  This is a political dictatorship... we re not Venezuelan, we re Bolivian,  Remigio Figueredo, a peasant leader said in La Paz  San Francisco square, where thousands gathered at the same time a World Cup qualifying match between Bolivia and Uruguay was televised. The Morales government dismissed the protests as political rallies disguised as a grassroots movement and said the right-wing opposition wants to ensure Morales cannot run in the 2019 race.  Any constitutional reform needed can be implemented when the will of the people is at stake,  Justice Minister Hector Arce said on TV channel Cadena A. Historically unstable Bolivia has enjoyed relative prosperity and calm under Morales, the country s first indigenous president who came to power in 2006 and whose approval ratings now hover at around 50 percent. Morales has said he would happily give up office but that his supporters are pushing for him to stay. The Plurinational Constitutional Court has until December to rule on the request by Morales  party or extend the deadline for doing so. Protests were also held in the Bolivia s biggest city, Santa Cruz, and in regional capitals across the country. ",real
BREAKING: WATCH TWO PROTESTERS Crash ‘Trump Assassination’ Play in NYC: “Liberal Hate Kills!” [Video],"Awesome! Two protesters crashed the  Trump Assassination  play tonight yelling  Goebbels would be proud!  and  Liberal Hate Kills!  This is the second night protesters have jumped on stage at the Shakespeare in the Park production of Julius Caesar where a modern twist shows a President Trump look-a-like assassinated. Lovely, huh?A second protester jumped on stage and yelled but a videographer capturing the moment was tackled by liberal thugs.The videographer was eventually released by the police with the assurance that the police are on their side.In case you missed the first protest on Friday night: Laura Loomer of Rebel Media rushed the stage at the controversial NYC Shakespeare in the Park performance that takes a modern twist on Julius Caesar by playing out an assassination of a President Trump look-alike. Loomer yelled  stop leftist violence  before she was escorted off stage.We re huge fans and hope more people will follow her lead. Can you imagine if the tables were turned and they performed the same play using Obama as the one to be assassinated? The double standard here is unbelievable! You have the blood of Steve Scalise on your hands! The interesting irony is that the liberal crowd screamed and yelled at her. The left loves civil disobedience -except when it spoils their enjoyment of highbrow assassination porn. Do they advocate for violence against our president?They literally have Antifa chants during Julius Caesar before Trump gets assassinated pic.twitter.com/6AbHOChSnC  Jack Posobiec   (@JackPosobiec) June 17, 2017Ms. Loomer was arrested by the the NYPD and was released within hours. Laura s press conference: Jack Posobiec also got up and bravely yelled at the crowd. He yelled  You re all Goebbels In case you don t know:GOEBBELS WAS THE NAZI PROPAGANDA MINISTER:German Nazi Party member Joseph Goebbels became Adolf Hitler s propaganda minister in 1933, which gave him power over all German radio, press, cinema, and theater.In 1925 Goebbels met the party leader Adolf Hitler. In 1926 he was made Gauleiter, or party leader, for the region of Berlin, and in 1927 he founded and became editor of the official National Socialist periodical Der Angriff (The Attack). He was elected to the Reichstag, the German parliament, in 1928. By exploiting mob emotions and by employing all modern methods of propaganda Goebbels helped Hitler into power. His work as a propagandist materially aided Hitler s rise to power in 1933. When Hitler seized power in 1933, Goebbels was appointed Reichsminister for propaganda and national enlightenment. From then until his death, Goebbels used all media of education and communications to further Nazi propagandistic aims, instilling in the Germans the concept of their leader as a veritable god and of their destiny as the rulers of the world. In 1938 he became a member of the Hitler cabinet council. Late in World War II, in 1944, Hitler placed him in charge of total mobilization. As Reichsminister for Propaganda and National Enlightenment, Goebbels was given complete control over radio, press, cinema, and theater; later he also regimented all German culture. Goebbels placed his undeniable intelligence and his brilliant insight into mass psychology entirely at the service of his party. His most virulent propaganda was against the Jews. As a hypnotic orator he was second only to Hitler, and in his staging of mass meetings and parades he was unsurpassed. Utterly cynical, he seems to have believed only in the self-justification of power. He remained loyal to Hitler until the end. On May 1, 1945, as Soviet troops were storming Berlin, Goebbels committed suicide.Via: whale",fake
